0,1,2
卡斯柏·舒梅切尔,尼斯,work_for
卡斯柏·舒梅切尔,门将,play_the_role_of
卡斯柏·舒梅切尔,丹麦,come_from
奥利弗·克里斯滕森,柏林赫塔,work_for
奥利弗·克里斯滕森,门将,play_the_role_of
奥利弗·克里斯滕森,丹麦,come_from
弗里德里克·劳诺,柏林联盟,work_for
弗里德里克·劳诺,门将,play_the_role_of
弗里德里克·劳诺,丹麦,come_from
西蒙·克亚尔,AC米兰,work_for
西蒙·克亚尔,后卫,play_the_role_of
西蒙·克亚尔,丹麦,come_from
安德烈亚斯·克里斯滕森,巴塞罗那,work_for
安德烈亚斯·克里斯滕森,后卫,play_the_role_of
安德烈亚斯·克里斯滕森,丹麦,come_from
延斯·拉尔森,特拉布宗,work_for
延斯·拉尔森,后卫,play_the_role_of
延斯·拉尔森,丹麦,come_from
丹尼尔·瓦斯,邦比,work_for
丹尼尔·瓦斯,后卫,play_the_role_of
丹尼尔·瓦斯,丹麦,come_from
约阿基姆·梅勒,阿特兰大,work_for
约阿基姆·梅勒,后卫,play_the_role_of
约阿基姆·梅勒,丹麦,come_from
约希姆·安德森,水晶宫,work_for
约希姆·安德森,后卫,play_the_role_of
约希姆·安德森,丹麦,come_from
拉斯姆斯·克里斯滕森,列斯联,work_for
拉斯姆斯·克里斯滕森,后卫,play_the_role_of
拉斯姆斯·克里斯滕森,丹麦,come_from
维克多·尼尔森,加拉塔沙雷,work_for
维克多·尼尔森,后卫,play_the_role_of
维克多·尼尔森,丹麦,come_from
克里斯蒂安·埃里克森,曼联,work_for
克里斯蒂安·埃里克森,中场,play_the_role_of
克里斯蒂安·埃里克森,丹麦,come_from
托马斯·德莱尼,西维尔,work_for
托马斯·德莱尼,中场,play_the_role_of
托马斯·德莱尼,丹麦,come_from
皮埃尔-埃米尔·霍伊别尔,热刺,work_for
皮埃尔-埃米尔·霍伊别尔,中场,play_the_role_of
皮埃尔-埃米尔·霍伊别尔,丹麦,come_from
马蒂亚斯·延森,布伦特福德,work_for
马蒂亚斯·延森,中场,play_the_role_of
马蒂亚斯·延森,丹麦,come_from
克里斯蒂安·诺尔高,布伦特福德,work_for
克里斯蒂安·诺尔高,中场,play_the_role_of
克里斯蒂安·诺尔高,丹麦,come_from
罗伯·斯科夫,霍芬海姆1899,work_for
罗伯·斯科夫,中场,play_the_role_of
罗伯·斯科夫,丹麦,come_from
优素福·波尔森,RB莱比锡,work_for
优素福·波尔森,前锋,play_the_role_of
优素福·波尔森,丹麦,come_from
马丁·布雷思韦特,西班牙人,work_for
马丁·布雷思韦特,前锋,play_the_role_of
马丁·布雷思韦特,丹麦,come_from
卡斯珀·多尔贝尔,西维尔,work_for
卡斯珀·多尔贝尔,前锋,play_the_role_of
卡斯珀·多尔贝尔,丹麦,come_from
安德烈亚斯·斯科夫奥尔森,布鲁日,work_for
安德烈亚斯·斯科夫奥尔森,前锋,play_the_role_of
安德烈亚斯·斯科夫奥尔森,丹麦,come_from
米克尔·达姆斯高,布伦特福德,work_for
米克尔·达姆斯高,前锋,play_the_role_of
米克尔·达姆斯高,丹麦,come_from
乔纳斯·云德,沃尔夫斯堡,work_for
乔纳斯·云德,前锋,play_the_role_of
乔纳斯·云德,丹麦,come_from
安德烈亚斯·科尔内柳斯,哥本哈根,work_for
安德烈亚斯·科尔内柳斯,前锋,play_the_role_of
安德烈亚斯·科尔内柳斯,丹麦,come_from
耶斯佩尔·林斯特伦,法兰克福,work_for
耶斯佩尔·林斯特伦,前锋,play_the_role_of
耶斯佩尔·林斯特伦,丹麦,come_from
川岛永嗣,斯特拉斯堡,work_for
川岛永嗣,门将,play_the_role_of
川岛永嗣,日本,come_from
权田修一,清水心跳,work_for
权田修一,门将,play_the_role_of
权田修一,日本,come_from
丹尼尔·施密特,圣图尔登,work_for
丹尼尔·施密特,门将,play_the_role_of
丹尼尔·施密特,日本,come_from
山根视来,川崎前锋,work_for
山根视来,后卫,play_the_role_of
山根视来,日本,come_from
谷口彰悟,川崎前锋,work_for
谷口彰悟,后卫,play_the_role_of
谷口彰悟,日本,come_from
板仓滉,门兴,work_for
板仓滉,后卫,play_the_role_of
板仓滉,日本,come_from
长友佑都,FC东京,work_for
长友佑都,后卫,play_the_role_of
长友佑都,日本,come_from
富安健洋,阿仙奴,work_for
富安健洋,后卫,play_the_role_of
富安健洋,日本,come_from
酒井宏树,浦和红钻,work_for
酒井宏树,后卫,play_the_role_of
酒井宏树,日本,come_from
吉田麻也,史浩克04,work_for
吉田麻也,后卫,play_the_role_of
吉田麻也,日本,come_from
伊藤洋辉,斯图加特,work_for
伊藤洋辉,后卫,play_the_role_of
伊藤洋辉,日本,come_from
远藤航,斯图加特,work_for
远藤航,中场,play_the_role_of
远藤航,日本,come_from
柴崎岳,雷加利斯,work_for
柴崎岳,中场,play_the_role_of
柴崎岳,日本,come_from
堂安律,弗赖堡,work_for
堂安律,中场,play_the_role_of
堂安律,日本,come_from
三笘薰,白礼顿,work_for
三笘薰,中场,play_the_role_of
三笘薰,日本,come_from
南野拓实,摩纳哥,work_for
南野拓实,中场,play_the_role_of
南野拓实,日本,come_from
久保建英,皇家苏斯达,work_for
久保建英,中场,play_the_role_of
久保建英,日本,come_from
守田英正,士砵亭,work_for
守田英正,中场,play_the_role_of
守田英正,日本,come_from
伊东纯也,兰斯,work_for
伊东纯也,中场,play_the_role_of
伊东纯也,日本,come_from
镰田大地,法兰克福,work_for
镰田大地,中场,play_the_role_of
镰田大地,日本,come_from
田中碧,福尔图娜杜塞尔多夫,work_for
田中碧,中场,play_the_role_of
田中碧,日本,come_from
相马勇纪,名古屋鲸鱼,work_for
相马勇纪,中场,play_the_role_of
相马勇纪,日本,come_from
浅野拓磨,波琴,work_for
浅野拓磨,前锋,play_the_role_of
浅野拓磨,日本,come_from
町野修斗＊,湘南比马,work_for
町野修斗＊,前锋,play_the_role_of
町野修斗＊,日本,come_from
上田绮世,色格拉布鲁日,work_for
