store,dept,week,promotion_sales
1,1,2010-02-08,22538.074164947553
1,1,2010-02-15,18381.721909030482
1,1,2010-03-22,5049.940942094756
1,1,2010-03-29,36693.8936110071
1,1,2010-04-05,22858.828578075325
1,1,2010-07-05,1723.7526622350445
1,1,2010-10-04,3287.9674498746426
1,1,2010-10-11,6391.481195885622
1,1,2010-10-18,4439.64459744557
1,1,2010-10-25,17111.974598275017
1,1,2010-11-01,12220.499240632313
1,1,2010-12-06,7641.264078590641
1,1,2010-12-13,20893.700569192086
1,1,2010-12-20,31782.71661490892
1,1,2011-02-07,14215.147762486771
1,1,2011-02-14,23510.08552977577
1,1,2011-04-04,3540.3119560885443
1,1,2011-04-11,8968.119036179203
1,1,2011-04-18,31296.11282456296
1,1,2011-04-25,22756.506289300352
1,1,2011-10-10,2319.196472042459
1,1,2011-10-24,9879.822397149579
1,1,2011-10-31,17750.657221060264
1,1,2011-12-05,9318.947261328394
1,1,2011-12-12,21616.642961965168
1,1,2011-12-19,22472.15978741378
1,1,2012-02-06,13172.304114886952
1,1,2012-02-13,30606.224735654047
1,1,2012-03-26,8006.834665791749
1,1,2012-04-02,37252.441846252754
1,1,2012-04-09,14777.112686598357
1,1,2012-10-15,2788.6378804565156
1,1,2012-10-22,5525.965309653649
1,2,2010-02-01,4815.966505437958
1,2,2010-08-02,4895.987165972444
1,2,2010-08-16,4696.563259628814
1,2,2010-08-23,4593.201970624645
1,2,2010-12-20,14125.515596531724
1,2,2011-02-28,6544.9271130701545
1,2,2011-12-12,4905.6771812488105
1,2,2011-12-19,19364.191835321424
1,2,2012-01-30,7535.007248837744
1,2,2012-02-27,5604.1895742018605
1,2,2012-08-27,4972.003948881153
1,3,2010-02-01,4067.619863075332
1,3,2010-02-08,1314.0548529258933
1,3,2010-02-15,2075.090910250386
1,3,2010-02-22,1787.7052265998682
1,3,2010-03-01,3031.555676337496
1,3,2010-03-22,1281.4350902086321
1,3,2010-03-29,2106.509923259531
1,3,2010-04-05,1122.8471627074048
1,3,2010-07-12,3247.062792213519
1,3,2010-07-19,6292.227094457445
1,3,2010-07-26,10146.49412134233
1,3,2010-08-02,15828.339576102371
1,3,2010-08-09,19626.04722548754
1,3,2010-08-16,29992.571190955336
1,3,2010-08-23,39960.4896402249
1,3,2010-08-30,7668.272065745755
1,3,2010-12-20,1215.0208116809822
1,3,2011-01-03,5270.104437450878
1,3,2011-01-10,2865.2311535962526
1,3,2011-01-17,2260.9658294676606
1,3,2011-01-24,1847.413920752291
1,3,2011-02-07,1549.3987457768599
1,3,2011-02-14,1967.2228621693826
1,3,2011-02-28,1470.2019713608524
1,3,2011-03-07,1192.979829610945
1,3,2011-04-04,1051.6288601608976
1,3,2011-07-18,5115.1254695340085
1,3,2011-07-25,10254.41002547321
1,3,2011-08-01,20065.964778070284
1,3,2011-08-08,20830.4935915079
1,3,2011-08-15,30186.13077482049
1,3,2011-08-22,38264.37292535484
1,3,2011-08-29,7883.986850295862
1,3,2011-12-05,1515.6248844310762
1,3,2011-12-12,1876.302749803979
1,3,2011-12-19,2509.600139022427
1,3,2012-01-02,3062.5615619146156
1,3,2012-01-09,3105.8752445316163
1,3,2012-01-16,1107.6605336694784
1,3,2012-01-30,2179.8347001680527
1,3,2012-02-06,2209.4624030491814
1,3,2012-02-27,1510.7385926553095
